ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.00771403,70,1,-2,-2,-2,0,0
2,0.014657,68,1,-1,-1,-1,0,0
3,0.0223432,67,1,-1,-1,-1,0,0
4,0.030148,67,1,-1,-1,-1,0,0
5,0.0363801,67,1,-1,-1,-1,0,0
6,0.045192,67,1,-2,-2,-2,0,0
7,0.0526521,67,1,-1.5,-1.5,-1.5,0,0
8,0.0602531,67,1,-1.5,-1.5,-1.5,0,0
9,0.067502,67,1,-1,-1,-1,0,0
10,0.0749071,67,1,-1,-1,-1,0,0
11,0.0823362,66,1,-1,-1,-1,0,0
12,0.089663,66,1,-1.5,-1.5,-1.5,0,0
13,0.097223,65.75,1,-1.125,-1.125,-1.125,0,0
14,0.104484,65.75,1,-1.5,-1.5,-1.5,0,0
15,0.111879,65.3333,1,-1,-1,-1,0,0
16,0.11945,65.25,1,-1,-1,-1,0,0
17,0.128052,65,1,-1,-1,-1,0,0
18,0.135462,64.625,1,-1,-1,-1,0,0
19,0.142828,64.25,1,-1,-1,-1,0,0
20,0.150352,63.5,1,-1,-1,-1,0,0
21,0.157693,63.5,1,-1,-1,-1,0,0
22,0.165689,63.25,1,-0.875,-0.875,-0.875,0,0
23,0.173089,63,1,-0.5,-0.5,-0.5,0,0
24,0.181358,63,1,-1,-1,-1,0,0
25,0.188912,62.75,1,-1,-1,-1,0,0
26,0.196449,62.5,1,-0.5,-0.5,-0.5,0,0
27,0.203767,62.1667,1,-0.833333,-0.833333,-0.833333,0,0
28,0.212539,62,1,-0.5,-0.5,-0.5,0,0
29,0.22022,62,1,-0.5,-0.5,-0.5,0,0
30,0.229021,61.75,1,-1,-1,-1,0,0
31,0.237628,61.75,1,-0.75,-0.75,-0.75,0,0
32,0.246606,61.5,1,-0.5,-0.5,-0.5,0,0
33,0.255366,61.5,1,-1,-1,-1,0,0
34,0.264747,61.3333,1,-0.666667,-0.666667,-0.666667,0,0
35,0.273515,61.3333,1,-0.888889,-0.888889,-0.888889,0,0
36,0.282531,61,1,-1,-1,-1,0,0
37,0.291531,61,1,-1,-1,-1,0,0
38,0.300049,61,1,-0.666667,-0.666667,-0.666667,0,0
39,0.308905,61,1,-0.666667,-0.666667,-0.666667,0,0
40,0.317428,61,1,-1,-1,-1,0,0
41,0.325981,61,1,-0.666667,-0.666667,-0.666667,0,0
42,0.334636,61,1,-1,-1,-1,0,0
43,0.343103,61,1,-1,-1,-1,0,0
44,0.351635,61,1,-1,-1,-1,0,0
45,0.360134,61,1,-1,-1,-1,0,0
46,0.368688,60.6667,1,-0.666667,-0.666667,-0.666667,0,0
47,0.378462,60.6667,1,-0.555556,-0.555556,-0.555556,0,0
48,0.386957,60.6667,1,-0.666667,-0.666667,-0.666667,0,0
49,0.395889,60.6471,1,-0.529412,-0.529412,-0.529412,0,0
50,0.40446,60.5,1,-0.5,-0.5,-0.5,0,0
51,0.412991,60.5,1,-0.5,-0.5,-0.5,0,0
52,0.421503,60.5,1,-0.5,-0.5,-0.5,0,0
53,0.430112,60.5,1,-0.5,-0.5,-0.5,0,0
54,0.438628,60.5,1,-0.5,-0.5,-0.5,0,0
55,0.447428,60.5,1,-0.5,-0.5,-0.5,0,0
56,0.456261,60.25,1,-0.5,-0.5,-0.5,0,0
57,0.46539,60,1,-0.666667,-0.666667,-0.666667,0,0
58,0.475086,60,0,0,0,0,0,0
