ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.0602949,297,1,-4,-4,-4,0,0
2,0.132535,294,1,-2,-2,-2,0,0
3,0.204927,294,1,-3,-3,-3,0,0
4,0.276211,294,1,-2,-2,-2,0,0
5,0.347297,294,1,-3,-3,-3,0,0
6,0.419104,294,1,-3,-3,-3,0,0
7,0.491875,294,1,-3,-3,-3,0,0
8,0.562714,294,1,-2,-2,-2,0,0
9,0.636002,293.5,1,-2,-2,-2,0,0
10,0.715228,292,1,-2,-2,-2,0,0
11,0.787027,291.5,1,-2,-2,-2,0,0
12,0.859977,291.5,1,-2,-2,-2,0,0
13,0.932183,291.5,1,-2,-2,-2,0,0
14,1.0042,291,1,-2,-2,-2,0,0
15,1.07607,290.5,1,-2,-2,-2,0,0
16,1.14887,290.5,1,-2,-2,-2,0,0
17,1.22084,290.5,1,-3,-3,-3,0,0
18,1.29276,290.5,1,-2,-2,-2,0,0
19,1.36497,290,1,-2,-2,-2,0,0
20,1.44015,290,1,-2,-2,-2,0,0
21,1.51492,289.75,1,-2,-2,-2,0,0
22,1.58847,289.75,1,-2,-2,-2,0,0
23,1.6615,289,1,-2,-2,-2,0,0
24,1.73636,289,1,-2,-2,-2,0,0
25,1.80942,289,1,-1,-1,-1,0,0
26,1.88241,289,1,-1,-1,-1,0,0
27,1.95824,288.833,1,-1,-1,-1,0,0
28,2.03398,288.833,1,-2,-2,-2,0,0
29,2.10932,287,1,-1,-1,-1,0,0
30,2.18446,287,1,-1,-1,-1,0,0
31,2.25967,287,1,-1,-1,-1,0,0
32,2.33546,286,1,-1,-1,-1,0,0
33,2.40974,285.286,1,-1,-1,-1,0,0
34,2.48408,285.278,1,-1,-1,-1,0,0
35,2.56091,284.286,1,-1,-1,-1,0,0
36,2.63676,283.7,1,-2,-2,-2,0,0
37,2.71253,283.7,1,-1,-1,-1,0,0
38,2.78797,283.7,1,-1,-1,-1,0,0
39,2.86329,283,1,-1,-1,-1,0,0
40,2.93793,282,1,-1,-1,-1,0,0
41,3.01462,282,1,-1,-1,-1,0,0
42,3.09282,282,1,-1,-1,-1,0,0
43,3.16909,281,1,-1,-1,-1,0,0
44,3.2443,280.9,1,-1,-1,-1,0,0
45,3.32044,280.9,1,-1,-1,-1,0,0
46,3.39682,280.415,1,-1,-1,-1,0,0
47,3.47298,279.415,1,-1,-1,-1,0,0
48,3.54945,279.415,1,-1,-1,-1,0,0
49,3.6245,278.415,1,-1,-1,-1,0,0
50,3.70193,278.415,1,-1,-1,-1,0,0
51,3.78002,278.3,1,-2,-2,-2,0,0
52,3.85709,278.048,1,-1,-1,-1,0,0
53,3.93424,278.048,1,-1,-1,-1,0,0
54,4.01023,277.658,1,-1,-1,-1,0,0
55,4.08876,277.312,1,-1,-1,-1,0,0
56,4.16643,277.312,1,-1,-1,-1,0,0
57,4.24379,276.658,1,-1,-1,-1,0,0
58,4.32173,275.658,1,-1,-1,-1,0,0
59,4.40641,275.658,1,-1,-1,-1,0,0
60,4.48541,275.658,1,-1,-1,-1,0,0
61,4.56396,275.325,1,-1,-1,-1,0,0
62,4.64117,274.825,1,-1,-1,-1,0,0
63,4.71965,274.096,1,-1,-1,-1,0,0
64,4.79852,274.096,1,-1,-1,-1,0,0
65,4.87684,274,1,-1,-1,-1,0,0
66,4.95535,273.859,1,-1,-1,-1,0,0
67,5.03619,273.148,1,-1,-1,-1,0,0
68,5.11519,273.148,1,-1,-1,-1,0,0
69,5.19328,273.148,0,0,0,0,0,0
