ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.020757,139,1,-3,-3,-3,0,0
2,0.045558,138,1,-3,-3,-3,0,0
3,0.0671282,137.5,1,-2,-2,-2,0,0
4,0.0894041,137.5,1,-2,-2,-2,0,0
5,0.110961,137.333,1,-1.33333,-1.33333,-1.33333,0,0
6,0.132266,136.5,1,-1.5,-1.5,-1.5,0,0
7,0.154022,135,1,-3,-3,-3,0,0
8,0.175673,135,1,-1.5,-1.5,-1.5,0,0
9,0.197248,135,1,-1.33333,-1.33333,-1.33333,0,0
10,0.218571,135,1,-2,-2,-2,0,0
11,0.241397,134.4,1,-1.6,-1.6,-1.6,0,0
12,0.262997,134.4,1,-1.2,-1.2,-1.2,0,0
13,0.28432,134.4,1,-1,-1,-1,0,0
14,0.306582,134.4,1,-1,-1,-1,0,0
15,0.328293,134.4,1,-1.4,-1.4,-1.4,0,0
16,0.350763,134.25,1,-1.5,-1.5,-1.5,0,0
17,0.374228,134,1,-2,-2,-2,0,0
18,0.396741,133,1,-2,-2,-2,0,0
19,0.419438,133,1,-2,-2,-2,0,0
20,0.442662,133,1,-1,-1,-1,0,0
21,0.465181,133,1,-1,-1,-1,0,0
22,0.487719,132.4,1,-1.4,-1.4,-1.4,0,0
23,0.510579,132.4,1,-1.13333,-1.13333,-1.13333,0,0
24,0.533069,132.4,1,-1.2,-1.2,-1.2,0,0
25,0.558515,132.4,1,-1,-1,-1,0,0
26,0.581349,132,1,-1,-1,-1,0,0
27,0.60487,132,1,-1.75,-1.75,-1.75,0,0
28,0.627668,132,1,-1.2,-1.2,-1.2,0,0
29,0.650315,132,1,-1.25,-1.25,-1.25,0,0
30,0.674475,132,1,-1.33333,-1.33333,-1.33333,0,0
31,0.697172,131,1,-1,-1,-1,0,0
32,0.719818,130.97,1,-1.18182,-1.18182,-1.18182,0,0
33,0.742946,130.933,1,-1.6,-1.6,-1.6,0,0
34,0.765696,130.5,1,-1.5,-1.5,-1.5,0,0
35,0.790048,130.444,1,-1.22222,-1.22222,-1.22222,0,0
36,0.813777,130.286,1,-1,-1,-1,0,0
37,0.836303,130.062,1,-1.25,-1.25,-1.25,0,0
38,0.860391,130,1,-1,-1,-1,0,0
39,0.884261,129.833,1,-1,-1,-1,0,0
40,0.908601,129.469,1,-1,-1,-1,0,0
41,0.932271,129.469,1,-0.875,-0.875,-0.875,0,0
42,0.955963,129.469,1,-1,-1,-1,0,0
43,0.980025,129.469,1,-1,-1,-1,0,0
44,1.0038,129.455,1,-0.79798,-0.79798,-0.79798,0,0
45,1.02779,129.45,1,-0.8,-0.8,-0.8,0,0
46,1.0514,129.25,1,-0.9,-0.9,-0.9,0,0
47,1.0754,128.719,1,-1.25,-1.25,-1.25,0,0
48,1.09914,128.55,1,-0.816667,-0.816667,-0.816667,0,0
49,1.12296,128.55,1,-0.85,-0.85,-0.85,0,0
50,1.14715,128.403,1,-0.7375,-0.7375,-0.7375,0,0
51,1.17208,128.403,1,-0.73125,-0.73125,-0.73125,0,0
52,1.1978,128.398,1,-0.757576,-0.757576,-0.757576,0,0
53,1.22261,128.356,1,-0.885057,-0.885057,-0.885057,0,0
54,1.24755,128.25,1,-1,-1,-1,0,0
55,1.2724,128.25,1,-0.7,-0.7,-0.7,0,0
56,1.29745,128.25,1,-0.7,-0.7,-0.7,0,0
57,1.32238,128.25,1,-0.65,-0.65,-0.65,0,0
58,1.3476,128.027,1,-1.0163,-1.0163,-1.0163,0,0
59,1.37236,127.75,1,-0.75,-0.75,-0.75,0,0
60,1.39747,127.475,1,-0.725,-0.725,-0.725,0,0
61,1.42465,127.366,1,-0.683486,-0.683486,-0.683486,0,0
62,1.4497,127.36,1,-0.703488,-0.703488,-0.703488,0,0
63,1.47457,127.341,1,-0.690736,-0.690736,-0.690736,0,0
64,1.49978,127.086,1,-0.675732,-0.675732,-0.675732,0,0
65,1.52575,126.948,1,-0.672414,-0.672414,-0.672414,0,0
66,1.55075,126.92,1,-0.64,-0.64,-0.64,0,0
67,1.57688,126.92,1,-0.6,-0.6,-0.6,0,0
68,1.6017,126.667,1,-0.666667,-0.666667,-0.666667,0,0
69,1.62693,126.667,1,-0.916667,-0.916667,-0.916667,0,0
70,1.65274,126.575,1,-0.725,-0.725,-0.725,0,0
71,1.67926,126.228,1,-0.586957,-0.586957,-0.586957,0,0
72,1.70503,126.215,1,-0.584559,-0.584559,-0.584559,0,0
