ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.061553,280,194,-2,-1.00515,-1,0.0716105,0
2,0.177889,265,137,-2,-1.0073,-1,0.0851234,0
3,0.309446,252.5,154,-1,-0.522727,-0.5,0.104149,0
4,0.459512,244.938,183,-0.75,-0.226776,-0.25,0.130082,0
5,0.624213,239.25,97,-0.25,-0.25,-0.25,0,0
6,0.798938,236,29,-0.5,-0.5,-0.5,0,0
7,0.98553,234.917,196,-0.260417,-0.0860969,-0.0625,0.0628278,0
8,1.18803,232.333,33,-0.333333,-0.333333,-0.333333,3.04507e-16,0
9,1.39427,232,17,-0.5,-0.5,-0.5,0,0
10,1.60567,231.5,10,-0.5,-0.5,-0.5,9.93014e-17,0
11,1.82461,231.231,154,-0.211538,-0.0805445,-0.0769231,0.047601,0
12,2.04573,230.5,3,-0.5,-0.5,-0.5,0,0
13,2.27525,229.5,11,-1,-0.590909,-0.5,0.192847,0
14,2.5053,229.5,11,-0.5,-0.5,-0.5,0,0
15,2.73069,229.5,5,-0.5,-0.5,-0.5,0,0
16,2.96102,229.5,7,-0.5,-0.5,-0.5,0,0
17,3.19989,229,3,-1,-1,-1,0,0
18,3.4431,229,4,-0.5,-0.5,-0.5,0,0
19,3.68614,229,5,-0.5,-0.5,-0.5,0,0
20,3.93849,228.75,131,-0.2,-0.0440204,-0.0333333,0.0327603,0
21,4.20594,228.047,109,-0.10453,-0.0240746,-0.0182927,0.0197353,0
22,4.47395,228,3,-0.5,-0.5,-0.5,0,0
23,4.73353,228,1,-0.5,-0.5,-0.5,0,0
24,4.9929,228,4,-0.5,-0.5,-0.5,0,0
25,5.28293,227.5,46,-0.117647,-0.0370844,-0.0294118,0.0188375,0
26,5.55558,227.5,2,-0.5,-0.5,-0.5,0,0
27,5.82723,227.5,1,-0.5,-0.5,-0.5,0,0
28,6.10258,227.5,0,0,0,0,0,0
