ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.018652,133.5,153,-1,-0.843137,-1,0.232003,0
2,0.0595081,123.2,149,-1,-0.346309,-0.4,0.177425,0
3,0.111855,116.723,181,-0.423358,-0.106263,-0.080292,0.0796693,0
4,0.176058,114,94,-0.230769,-0.0797872,-0.0769231,0.0493057,0
5,0.243399,112.84,45,-0.16,-0.064,-0.04,0.032,0
6,0.312739,112.25,25,-0.125,-0.09,-0.0625,0.0310242,0
7,0.38529,111.659,55,-0.0878378,-0.0284398,-0.0202703,0.01978,0
8,0.460194,111.5,5,-0.25,-0.25,-0.25,0,0
9,0.538055,111.417,8,-0.166667,-0.09375,-0.0833333,0.0275599,0
10,0.618355,111.375,5,-0.125,-0.125,-0.125,0,0
11,0.696163,111.279,43,-0.0785714,-0.0243079,-0.0238095,0.0156808,0
12,0.775502,111.125,4,-0.0625,-0.0625,-0.0625,0,0
13,0.853518,111.062,4,-0.125,-0.078125,-0.0625,0.0270633,0
14,0.930728,111,3,-0.25,-0.25,-0.25,0,0
15,1.01311,111,2,-0.25,-0.25,-0.25,0,0
16,1.09363,110.966,13,-0.0689655,-0.0450928,-0.0344828,0.0159151,0
17,1.17983,110.826,13,-0.0869565,-0.0702341,-0.0869565,0.0211524,0
18,1.26064,110.75,2,-0.125,-0.125,-0.125,0,0
19,1.3423,110.75,2,-0.25,-0.25,-0.25,0,0
20,1.42204,110.688,7,-0.1875,-0.107143,-0.125,0.0437409,0
21,1.50907,110.625,2,-0.125,-0.125,-0.125,0,0
22,1.59204,110.52,45,-0.0694184,-0.0192412,-0.0159475,0.015885,0
23,1.6766,110.5,2,-0.125,-0.125,-0.125,0,0
24,1.75992,110.458,4,-0.125,-0.0833333,-0.0833333,0.0294628,0
25,1.84471,110.417,3,-0.0833333,-0.0833333,-0.0833333,1.04775e-16,0
26,1.93229,110.417,5,-0.166667,-0.1,-0.0833333,0.0333333,0
27,2.01821,110.333,0,0,0,0,0,0
