ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.064127,269,215,-2,-1.00465,-1,0.0680406,0
2,0.204,255.5,164,-1,-0.560976,-0.5,0.163615,0
3,0.356558,245,146,-1,-0.544521,-0.5,0.142402,0
4,0.526975,237.8,261,-0.466667,-0.184674,-0.2,0.107901,0
5,0.726301,233,22,-1,-0.704545,-0.5,0.245833,0
6,0.929544,231.187,248,-0.416667,-0.108619,-0.0833333,0.0853018,0
7,1.16016,229.5,12,-1,-0.583333,-0.5,0.186339,0
8,1.38814,228,20,-0.5,-0.5,-0.5,0,0
9,1.62041,227.143,64,-0.285714,-0.15625,-0.142857,0.0416401,0
10,1.85586,227,3,-1,-1,-1,0,0
11,2.09212,227,5,-0.5,-0.5,-0.5,0,0
12,2.3324,226.5,5,-0.5,-0.5,-0.5,0,0
13,2.57021,226.5,1,-0.5,-0.5,-0.5,0,0
14,2.8092,226.5,1,-0.5,-0.5,-0.5,0,0
15,3.04672,226.5,2,-0.5,-0.5,-0.5,0,0
16,3.28531,226,5,-0.5,-0.5,-0.5,0,0
17,3.52665,226,9,-0.5,-0.5,-0.5,0,0
18,3.77388,225.5,4,-1,-0.625,-0.5,0.216506,0
19,4.01885,225.5,1,-0.5,-0.5,-0.5,0,0
20,4.26606,225.5,2,-0.5,-0.5,-0.5,0,0
21,4.5145,225.25,18,-0.25,-0.25,-0.25,0,0
22,4.7669,225,1,-1,-1,-1,0,0
23,5.01524,225,4,-0.5,-0.5,-0.5,0,0
24,5.26386,225,4,-0.5,-0.5,-0.5,0,0
25,5.50924,225,3,-0.5,-0.5,-0.5,0,0
26,5.75256,225,0,0,0,0,0,0
