ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.00528216,46,17,-1,-1,-1,0,0
2,0.0112181,44.5,20,-1,-0.7,-0.5,0.244949,0
3,0.0170891,42,10,-0.5,-0.5,-0.5,0,0
4,0.024461,42,18,-0.333333,-0.333333,-0.333333,1.57009e-16,0
5,0.0312471,41.75,13,-0.5,-0.269231,-0.25,0.0666173,0
6,0.0395422,41.3333,2,-0.333333,-0.333333,-0.333333,0,0
7,0.0463381,41.3333,5,-0.333333,-0.233333,-0.166667,0.0816497,0
8,0.0544381,41,1,-0.5,-0.5,-0.5,0,0
9,0.061331,40.8333,3,-0.166667,-0.166667,-0.166667,1.05081e-16,0
10,0.069422,40.75,3,-0.25,-0.25,-0.25,0,0
11,0.0765331,40.75,3,-0.25,-0.25,-0.25,0,0
12,0.0834811,40.5,0,0,0,0,0,0
