ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.060786,295,171,-2,-1.0117,-1,0.107513,0
2,0.186204,272,148,-1,-0.689189,-0.5,0.242491,0
3,0.328544,263,87,-1,-0.775862,-1,0.248659,0
4,0.494647,258.833,203,-0.833333,-0.271757,-0.166667,0.139046,0
5,0.668798,253,14,-1,-1,-1,0,0
6,0.843795,253,6,-1,-1,-1,0,0
7,1.02582,251,50,-0.5,-0.5,-0.5,0,0
8,1.2064,250,38,-0.5,-0.5,-0.5,0,0
9,1.39131,250,6,-1,-0.666667,-0.5,0.235702,0
10,1.57832,249,9,-0.5,-0.5,-0.5,0,0
11,1.76749,249,3,-1,-1,-1,0,0
12,1.95676,248.4,109,-0.4,-0.211009,-0.2,0.045614,0
13,2.15377,248,16,-1,-0.5625,-0.5,0.165359,0
14,2.35157,247,15,-1,-0.833333,-1,0.235702,0
15,2.55818,246.5,12,-0.5,-0.5,-0.5,0,0
16,2.76061,246,2,-0.5,-0.5,-0.5,0,0
17,2.96337,246,3,-1,-0.666667,-0.5,0.235702,0
18,3.16899,246,2,-1,-1,-1,0,0
19,3.37283,246,0,0,0,0,0,0
20,3.59173,246,0,0,0,0,0,0
21,3.81177,246,0,0,0,0,0,0
22,4.03568,246,1,-1,-1,-1,0,0
23,4.23776,246,3,-1,-1,-1,0,0
24,4.44008,245.5,4,-0.5,-0.5,-0.5,0,0
25,4.65048,245,11,-0.5,-0.5,-0.5,0,0
26,4.85508,245,7,-0.5,-0.5,-0.5,0,0
27,5.06018,245,0,0,0,0,0,0
