ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.007833,68,47,-1,-1,-1,0,0
2,0.0195401,65,36,-1,-1,-1,0,0
3,0.0323451,63,28,-1,-0.517857,-0.5,0.0927884,0
4,0.046314,60.6667,34,-0.333333,-0.333333,-0.333333,1.86555e-16,0
5,0.0625579,58.625,31,-0.25,-0.145161,-0.125,0.0459748,0
6,0.0786681,57.75,13,-0.25,-0.25,-0.25,0,0
7,0.0960231,57.5,4,-0.5,-0.5,-0.5,0,0
8,0.113517,57.3333,13,-0.166667,-0.166667,-0.166667,1.11022e-16,0
9,0.130894,57,9,-0.166667,-0.166667,-0.166667,9.25186e-17,0
10,0.149397,57,9,-0.333333,-0.333333,-0.333333,0,0
11,0.168649,56.7857,15,-0.142857,-0.0809524,-0.0714286,0.024281,0
12,0.187861,56.6667,5,-0.166667,-0.166667,-0.166667,8.9509e-17,0
13,0.206649,56.5,9,-0.25,-0.138889,-0.0833333,0.0680414,0
14,0.226331,56.5,6,-0.125,-0.125,-0.125,0,0
15,0.244915,56.5,3,-0.166667,-0.138889,-0.166667,0.0392837,0
16,0.264337,56.5,4,-0.25,-0.25,-0.25,0,0
17,0.284953,56.5,4,-0.125,-0.125,-0.125,0,0
18,0.30468,56.5,2,-0.25,-0.166667,-0.0833333,0.0833333,0
19,0.32423,56.5,0,0,0,0,0,0
