ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.019326,129,101,-1,-1,-1,0,0
2,0.0543151,121,83,-2,-0.873494,-1,0.255581,0
3,0.094311,115,76,-0.5,-0.5,-0.5,0,0
4,0.141667,112.333,40,-0.666667,-0.341667,-0.333333,0.0520416,0
5,0.188135,111.375,69,-0.375,-0.134964,-0.125,0.0706812,0
6,0.240109,109.667,18,-0.333333,-0.333333,-0.333333,1.57009e-16,0
7,0.292197,109.167,67,-0.25,-0.119403,-0.0833333,0.0597533,0
8,0.351372,108.417,54,-0.25,-0.0972222,-0.0833333,0.0349529,0
9,0.411625,108,1,-1,-1,-1,0,0
10,0.469831,108,1,-1,-1,-1,0,0
11,0.530229,108,2,-1,-1,-1,0,0
12,0.592765,107.669,74,-0.123377,-0.035802,-0.025974,0.0294344,0
13,0.656931,107.5,8,-0.333333,-0.208333,-0.166667,0.0721688,0
14,0.723914,107.333,1,-0.333333,-0.333333,-0.333333,0,0
15,0.790339,107.333,1,-0.333333,-0.333333,-0.333333,0,0
16,0.855701,107.167,3,-0.333333,-0.277778,-0.333333,0.0785674,0
17,0.921372,107.167,5,-0.166667,-0.166667,-0.166667,1.08921e-16,0
18,0.987777,107.167,3,-0.333333,-0.277778,-0.333333,0.0785674,0
19,1.0542,107.167,8,-0.333333,-0.270833,-0.333333,0.0806872,0
20,1.12566,106.934,67,-0.21638,-0.0309524,-0.0212336,0.039605,0
21,1.19924,106.833,3,-0.333333,-0.222222,-0.166667,0.0785674,0
22,1.27006,106.667,4,-0.333333,-0.25,-0.166667,0.0833333,0
23,1.34166,106.667,1,-0.333333,-0.333333,-0.333333,0,0
24,1.41311,106.667,0,0,0,0,0,0
