ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.00626016,70,36,-1,-1,-1,0,0
2,0.0164611,65,27,-1,-1,-1,0,0
3,0.02705,63,36,-1,-0.513889,-0.5,0.0821678,0
4,0.0388191,61,38,-0.75,-0.421053,-0.5,0.152881,0
5,0.0523601,59.5,5,-0.5,-0.5,-0.5,0,0
6,0.066555,59.3333,47,-0.333333,-0.139007,-0.133333,0.0657091,0
7,0.0818081,58.5,6,-0.5,-0.5,-0.5,0,0
8,0.095886,58.5,9,-0.25,-0.25,-0.25,0,0
9,0.110804,57.8611,31,-0.166667,-0.0833333,-0.0833333,0.0513653,0
10,0.127193,57.3333,20,-0.166667,-0.166667,-0.166667,1.13764e-16,0
11,0.14436,57,0,0,0,0,0,0
