ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.00795603,67,50,-1,-1,-1,0,0
2,0.020505,62,49,-2,-1.04082,-1,0.197864,0
3,0.0328691,58,36,-0.666667,-0.351852,-0.333333,0.0763538,0
4,0.0473051,56.5,17,-0.5,-0.5,-0.5,0,0
5,0.0618529,56.25,25,-0.25,-0.25,-0.25,0,0
6,0.076483,56,0,0,0,0,0,0
7,0.0922799,56,1,-1,-1,-1,0,0
8,0.108221,55.5,8,-0.5,-0.5,-0.5,0,0
9,0.124777,55.5,14,-0.5,-0.5,-0.5,0,0
10,0.142263,55.4348,37,-0.173913,-0.0752056,-0.0434783,0.0386888,0
11,0.159224,55,5,-0.5,-0.5,-0.5,0,0
12,0.176501,55,0,0,0,0,0,0
